Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота; Начальная (максимальная) цена контракта ;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32514760195;Прочие;0517*Поставка байдарок;;;1;0517*Поставка байдарок; 265 800.00   ;RUB;;;;;30.12.19.130: Лодки гребные;30.12.19.130: Лодки гребные;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ВЫЯВЛЕНИЯ, ПОДДЕРЖКИ И РАЗВИТИЯ СПОСОБНОСТЕЙ И ТАЛАНТОВ У ДЕТЕЙ И МОЛОДЕЖИ ""ОРИОН""";;18.04.2025;18.04.2025;Закупка завершена;;18.04.2025;28.04.2025;
223-ФЗ;№32514759294;Прочие;0518-Поставка катамаранов;;;1;0518-Поставка катамаранов; 241 533.34   ;RUB;;;;;30.12.12.120: Суда надувные спортивные;30.12.12.120: Суда надувные спортивные;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ВЫЯВЛЕНИЯ, ПОДДЕРЖКИ И РАЗВИТИЯ СПОСОБНОСТЕЙ И ТАЛАНТОВ У ДЕТЕЙ И МОЛОДЕЖИ ""ОРИОН""";;17.04.2025;17.04.2025;Закупка завершена;;17.04.2025;25.04.2025;
223-ФЗ;№32514759295;Прочие;0519-Поставка рафтов;;;1;0519-Поставка рафтов; 331 266.66   ;RUB;;;;;30.12.12.120: Суда надувные спортивные;30.12.12.120: Суда надувные спортивные;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ВЫЯВЛЕНИЯ, ПОДДЕРЖКИ И РАЗВИТИЯ СПОСОБНОСТЕЙ И ТАЛАНТОВ У ДЕТЕЙ И МОЛОДЕЖИ ""ОРИОН""";;17.04.2025;17.04.2025;Закупка завершена;;17.04.2025;25.04.2025;
223-ФЗ;№32514526402;Прочие;"№ 37 Поставка маломерного судна особой конструкции для нужд МУП Г. САРАПУЛА ""САРАПУЛЬСКИЙ ВОДОКАНАЛ""";;;1;Маломерное судно особой конструкции; 665 475.00   ;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ Г. САРАПУЛА ""САРАПУЛЬСКИЙ ВОДОКАНАЛ""";;18.02.2025;18.02.2025;Закупка завершена;;18.02.2025;06.03.2025;
223-ФЗ;№32514662703;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;№ 75 Поставка лодки гребной для нужд автономного учреждения «Управление охраны окружающей среды и природопользования Минприроды Удмуртской Республики»;;;1;№ 75 Поставка лодки гребной для нужд автономного учреждения «Управление охраны окружающей среды и природопользования Минприроды Удмуртской Республики»; 304 000.00   ;RUB;;;;;30.12.19.130: Лодки гребные;30.12.19.130: Лодки гребные;"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ И ПРИРОДОПОЛЬЗОВАНИЯ МИНПРИРОДЫ УДМУРТСКОЙ РЕСПУБЛИКИ""";;27.03.2025;27.03.2025;Закупка завершена;;27.03.2025;04.04.2025;
223-ФЗ;№32514614114;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;№37/223/А25-м на поставку понтонного садкового комплекса и катамаранов для живорыбных устройств для нужд Тюменского филиала ФГБНУ «ВНИРО»;;;1;Поставка понтонного садкового комплекса и катамаранов для живорыбных устройств для нужд Тюменского филиала ФГБНУ «ВНИРО»; 2 233 333.34   ;RUB;;;;;30.11.50.190: Конструкции плавучие прочие, не включенные в другие группировки;30.11.50.190: Конструкции плавучие прочие, не включенные в другие группировки;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";;14.03.2025;14.03.2025;Закупка завершена;;14.03.2025;24.03.2025;
223-ФЗ;№32514971482;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Аукцион в электронной форме №85/2025 участниками которого являются только субъекты малого и среднего предпринимательства на право заключения договора на поставку цельносваренной алюминиевой моторной лодки «Русбот-55 PRO» или Эквивалент без лодочного мотора, оборудованной под навесной мотор с гидроподъемом, в комплекте (газ/реверс), машинкой и приборами, прицепа для перевозки лодки, тент транспортировочный для нужд АО «РЭС Запад»;;;1;Поставка лодки «Русбот-55 PRO» или Эквивалент без лодочного мотора, оборудованной под навесной мотор с гидроподъемом, в комплекте (газ/реверс), машинкой и приборами, прицепа для перевозки лодки, тент транспортировочный для нужд АО «РЭС Запад»; 1 496 000.00   ;RUB;;;;;"30.12.19.110: Суда прогулочные прочие; 29.20.23.111: Прицепы и полуприцепы, технически допустимая максимальная масса которых не более 0,75 т";"30.12.19.110: Суда прогулочные прочие; 29.20.23.111: Прицепы и полуприцепы, технически допустимая максимальная масса которых не более 0,75 т";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНАЛЬНЫЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ-ЗАПАД""";;24.06.2025;24.06.2025;Подача заявок;;24.06.2025;02.07.2025;
223-ФЗ;№32514953432;Прочие;Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП «Росморпорт» (КУ 25-25);;;1;Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП «Росморпорт» (КУ 25-25); 247 000 000.00   ;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;18.06.2025;18.06.2025;Подача заявок;;18.06.2025;04.07.2025;
223-ФЗ;№32514635550;Прочие;Запрос котировок в электронной форме № АРХ-10-2025 по выбору организации на право заключения договора на поставку катера с аппарелью для нужд Архангельского управления Арктического бассейнового филиала ФГУП «Росморпорт»;;;1;Запрос котировок в электронной форме № АРХ-10-2025 по выбору организации на право заключения договора на поставку катера с аппарелью для нужд Архангельского управления Арктического бассейнового филиала ФГУП «Росморпорт»; 12 000 000.00   ;RUB;;;;;30.11.33.192: Суда навигационно-гидрографического обеспечения;30.11.33.192: Суда навигационно-гидрографического обеспечения;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;20.03.2025;20.03.2025;Закупка завершена;;20.03.2025;31.03.2025;
223-ФЗ;№32514718114;Прочие;Запрос котировок в электронной форме № АСТР 24-25 по выбору поставщика трех гидрографических (промерных) катеров для нужд Астраханского филиала ФГУП «Росморпорт» ;;;1;"Поставка трех гидрографических (промерных) катеров для нужд Астраханского филиала ФГУП ""Росморпорт"""; 49 850 304.00   ;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;07.04.2025;07.04.2025;Закупка завершена;;07.04.2025;15.04.2025;
